,Location_Code,Latitude,Longitude,Economic_Need_Index,Percent_ELL,Percent_Asian,Percent_Black,Percent_Hispanic,Percent_Black_Hispanic,Percent_White,Student_Attendance_Rate,Percent_of_Students_Chronically_Absent,Rigorous_Instruction_Per,Collaborative_Teachers_Per,Supportive_Environment_Per,Strong_Family_Community_Ties_Per,Total_Proficiency_Average,SA_Rating_Exceeding_Target,SA_Rating_Meeting_Target,SA_Rating_Not_Meeting_Target,Community_School_Yes,Grades,Grades_Elem_Middle,Grades_K_to_12,Grades_with_high,advanced_regents_of_cohort,dropped_out_of_cohort,local_of_grads,regents_w_o_advanced_of_cohort,still_enrolled_of_cohort
0,01M292,40.713343,-73.986069,0.8320000000000001,0.14,0.12,0.26,0.57,0.84,0.03,0.84,0.58,0.72,0.77,0.77,0.76,1.895,0,0,0,1,"06,07,08,09,10,11,12",0,0,1,0.6089108910891089,19.907178217821787,24.811194029850775,45.921287128712876,14.57178217821784
1,01M450,40.729153,-73.982474,0.61,0.01,0.11,0.21,0.53,0.74,0.12,0.97,0.05,0.92,0.95,0.92,0.88,2.86,1,0,0,0,"06,07,08,09,10,11,12",0,0,1,0.0,9.888796680497949,4.588796680497922,76.02883817427399,9.120331950207474
2,01M539,40.7195,-73.979239,0.257,0.0,0.33,0.09,0.11,0.2,0.42,0.97,0.03,0.81,0.73,0.85,0.81,3.93,1,0,0,0,"0K,01,02,03,04,05,06,07,08,09,10,11,12",0,1,0,73.09352331606222,1.0629533678756469,0.8607792207792213,23.675129533678753,1.176165803108809
3,02M407,40.732676,-73.982576,0.258,0.0,0.07,0.16,0.16,0.32,0.55,0.96,0.13,0.94,0.98,0.9,0.89,3.115,0,0,0,0,"06,07,08,09,10,11,12",0,0,1,0.0,3.850688073394496,35.0433486238532,58.23050458715597,8.92110091743119
4,02M408,40.761329,-73.98866899999999,0.33,0.0,0.05,0.23,0.2,0.43,0.44,0.96,0.09,0.9,0.86,0.84,0.75,3.41,1,0,0,0,"06,07,08,09,10,11,12",0,0,1,12.660000000000013,1.4326190476190477,13.044951923076924,69.46690476190479,5.140952380952381
5,02M413,40.739095,-73.985349,0.358,0.01,0.15,0.11,0.29,0.4,0.37,0.97,0.06,0.88,0.96,0.88,0.76,3.13,0,1,0,0,"06,07,08,09,10,11,12",0,0,1,0.0,2.7627016129032227,0.2370967741935484,90.13387096774183,6.5326612903225865
6,02M422,40.743368,-74.00254699999998,0.406,0.03,0.11,0.19,0.35,0.54,0.29,0.95,0.11,0.83,0.79,0.82,0.8,2.85,0,1,0,0,"06,07,08,09,10,11,12",0,0,1,9.851724137931036,4.613793103448277,8.96896551724138,62.29827586206898,14.001724137931033
7,02M655,40.783283,-73.945937,0.765,0.06,0.05,0.31,0.6,0.91,0.02,0.9,0.3,0.9,0.9,0.77,0.65,2.095,0,0,0,0,"06,07,08,09,10,11,12",0,0,1,7.199148936170219,11.391702127659585,26.996595744680803,48.45425531914887,10.740638297872348
8,03M415,40.802284,-73.95408,0.7909999999999999,0.05,0.02,0.53,0.44,0.96,0.01,0.93,0.23,0.86,0.77,0.82,0.77,2.015,0,0,0,1,"06,07,08,09,10,11,12",0,0,1,3.9207373271889394,13.24976958525345,24.842396313364038,44.27304147465438,15.028110599078344
9,03M859,40.775221,-73.982997,0.253,0.01,0.16,0.13,0.14,0.28,0.43,0.96,0.07,0.96,0.97,0.91,0.91,3.76,1,0,0,0,"0K,01,02,03,04,05,06,07,08,09,10,11,12",0,1,0,1.8199999999999998,1.48,2.42,94.28999999999999,0.0
10,03M860,40.802284,-73.95408,0.7859999999999999,0.08,0.02,0.68,0.27,0.95,0.01,0.88,0.34,0.76,0.76,0.81,0.76,2.27,0,1,0,0,"06,07,08,09,10,11,12",0,0,1,5.096941896024465,12.444954128440374,26.719692307692284,46.369418960244616,14.479816513761472
11,04M372,40.79259,-73.94211899999998,0.836,0.28,0.01,0.15,0.82,0.97,0.02,0.91,0.35,0.87,0.77,0.84,0.77,2.135,0,1,0,0,"06,07,08,09,10,11,12",0,0,1,2.238888888888889,6.774999999999996,24.99722222222224,54.1736111111111,16.49027777777778
12,04M610,40.792935,-73.947168,0.722,0.02,0.09,0.25,0.6,0.85,0.04,0.95,0.16,0.9,0.97,0.87,0.72,2.615,0,1,0,0,"06,07,08,09,10,11,12",0,0,1,20.10531249999999,0.07875000000000001,15.462812499999993,63.92312499999997,0.5196874999999999
13,05M362,40.81064,-73.95584699999998,0.507,0.0,0.12,0.21,0.44,0.65,0.2,0.98,0.01,0.87,0.92,0.88,0.84,3.6,1,0,0,0,"06,07,08,09,10,11,12",0,0,1,51.848062015503835,0.0,0.6550387596899226,46.78294573643412,0.725581395348837
14,05M499,40.824398,-73.936545,0.708,0.03,0.01,0.71,0.23,0.94,0.02,0.93,0.22,0.89,0.86,0.79,0.78,2.325,0,0,0,0,"06,07,08,09,10,11,12",0,0,1,23.32100000000001,7.807749999999999,6.093249999999996,52.20375000000003,9.993499999999997
15,05M670,40.815297,-73.944304,0.732,0.03,0.01,0.74,0.23,0.97,0.0,0.96,0.05,0.79,0.9,0.79,0.74,2.37,0,0,0,0,"07,08,09,10,11,12",0,0,1,1.1530791788856307,6.779178885630502,29.514369501466263,58.59560117302061,7.76129032258065
16,06M293,40.86082,-73.930066,0.708,0.05,0.01,0.05,0.92,0.97,0.02,0.95,0.1,0.85,0.79,0.88,0.71,2.89,1,0,0,0,"06,07,08,09,10,11,12",0,0,1,17.359895833333322,0.33333333333333326,2.8338541666666663,75.72708333333335,3.592187500000001
17,06M346,40.833487,-73.94244599999998,0.85,0.19,0.01,0.07,0.91,0.98,0.01,0.93,0.2,0.87,0.95,0.89,0.8,2.27,0,1,0,0,"06,07,08,09,10,11,12",0,0,1,1.309128630705393,7.0676348547717796,24.036099585062246,53.706224066390064,21.26514522821577
18,06M348,40.849099,-73.931106,0.84,0.17,0.01,0.03,0.94,0.97,0.02,0.94,0.18,0.83,0.87,0.89,0.79,2.575,0,1,0,0,"PK,0K,01,02,03,04,05,06,07,08,09,10,11,12",0,1,0,10.79219512195122,6.285365853658539,15.518407960199017,54.9819512195122,18.685853658536594
19,07X221,40.813507,-73.920477,0.872,0.08,0.01,0.24,0.72,0.96,0.02,0.93,0.21,0.89,0.92,0.89,0.74,2.3200000000000003,0,1,0,0,"06,07,08,09,10,11,12",0,0,1,7.955910543130981,4.449520766773166,20.155271565495184,64.1370607028754,5.734185303514381
20,07X223,40.813507,-73.920477,0.866,0.09,0.0,0.2,0.79,0.99,0.01,0.95,0.12,0.84,0.76,0.85,0.75,2.6500000000000004,0,1,0,0,"06,07,08,09,10,11,12",0,0,1,0.0,1.8333333333333337,3.072222222222222,82.95555555555556,12.566666666666668
21,07X500,40.814702,-73.912036,0.799,0.05,0.03,0.18,0.76,0.94,0.01,0.93,0.21,0.83,0.79,0.76,0.77,2.225,0,0,0,0,"06,07,08,09,10,11,12",0,0,1,22.744986449864513,5.663956639566391,17.347696476964796,48.142818428184334,9.193766937669382
22,07X551,40.81366,-73.925999,0.882,0.14,0.01,0.3,0.67,0.97,0.02,0.9,0.33,0.8,0.79,0.76,0.77,2.0700000000000003,0,0,0,0,"06,07,08,09,10,11,12",0,0,1,4.403030303030302,10.066391184573005,19.856749311294777,58.630578512396696,11.7206611570248
23,08X269,40.820398,-73.892938,0.853,0.14,0.01,0.22,0.76,0.98,0.01,0.92,0.29,0.81,0.84,0.79,0.75,2.1950000000000003,0,1,0,1,"06,07,08,09,10,11,12",0,0,1,0.0,14.308333333333328,14.126111111111115,59.28333333333335,15.529999999999992
24,08X367,40.815017,-73.856018,0.723,0.07,0.08,0.32,0.58,0.9,0.01,0.93,0.24,0.81,0.78,0.8,0.71,2.425,0,1,0,0,"06,07,08,09,10,11,12",0,0,1,1.6333333333333337,10.20816326530612,20.082312925170072,47.72448979591839,28.008163265306116
25,08X376,40.821448,-73.855654,0.7559999999999999,0.11,0.07,0.22,0.68,0.91,0.01,0.9,0.32,0.84,0.71,0.74,0.74,2.24,0,1,0,0,"06,07,08,09,10,11,12",0,0,1,2.1824427480916038,16.43282442748092,17.189312977099245,50.40992366412215,19.267938931297724
26,09X231,40.845324,-73.89739200000002,0.705,0.04,0.0,0.58,0.39,0.97,0.0,0.94,0.18,0.82,0.86,0.77,0.85,2.17,0,0,0,0,"09,10,11,12",0,0,1,2.1848056537102463,12.983745583038868,24.220802919708017,52.836749116607756,13.164310954063621
27,09X241,40.839457,-73.901895,0.8220000000000001,0.11,0.01,0.34,0.64,0.98,0.01,0.92,0.26,0.82,0.82,0.8,0.77,2.35,0,1,0,0,"06,07,08,09,10,11,12",0,0,1,18.05396825396828,4.435317460317459,13.643650793650801,58.58293650793643,7.394047619047613
28,09X324,40.828111,-73.917661,0.8190000000000001,0.14,0.03,0.29,0.66,0.95,0.02,0.93,0.23,0.9,0.94,0.84,0.74,2.165,0,1,0,1,"06,07,08,09,10,11,12",0,0,1,6.444594594594599,1.3628378378378379,17.346621621621633,69.59594594594596,6.307432432432435
29,09X327,40.842811,-73.916384,0.862,0.1,0.0,0.22,0.77,0.99,0.01,0.94,0.21,0.93,0.94,0.85,0.79,2.835,1,0,0,0,"06,07,08,09,10,11,12",0,0,1,21.257692307692313,7.011538461538462,5.0058823529411764,56.230769230769205,11.40576923076923
30,09X350,40.839654,-73.911386,0.92,0.34,0.0,0.3,0.67,0.98,0.0,0.66,0.74,0.66,0.71,0.93,0.78,1.905,0,0,0,0,"06,07,08,09,10,11,12",0,0,1,,,,,
31,09X413,40.839654,-73.911386,0.8009999999999999,0.06,0.08,0.33,0.57,0.9,0.01,0.96,0.11,0.9,0.92,0.82,0.81,2.55,0,1,0,0,"06,07,08,09,10,11,12",0,0,1,16.127624309392253,4.804972375690607,15.874309392265198,58.47375690607739,6.0864640883977845
32,09X505,40.827572,-73.918927,0.8029999999999999,0.06,0.01,0.24,0.71,0.96,0.01,0.95,0.14,0.82,0.8,0.8,0.71,2.63,1,0,0,0,"07,08,09,10,11,12",0,0,1,2.9759036144578292,11.855421686746975,24.193704600484256,55.7359036144578,8.357349397590362
33,10X141,40.887701,-73.913605,0.418,0.07,0.07,0.1,0.56,0.66,0.26,0.94,0.13,0.84,0.81,0.82,0.75,2.835,0,1,0,0,"06,07,08,09,10,11,12",0,0,1,12.817013232514162,6.569943289224953,22.286578449905516,53.70699432892243,6.429300567107751
34,10X225,40.854655,-73.897036,0.8059999999999999,0.06,0.01,0.27,0.68,0.95,0.02,0.92,0.26,0.84,0.87,0.81,0.76,2.43,0,1,0,0,"06,07,08,09,10,11,12",0,0,1,7.1746875000000045,6.677812499999993,13.8765625,64.37343749999998,7.244374999999998
35,10X243,40.859516,-73.88858,0.851,0.11,0.02,0.2,0.75,0.95,0.02,0.92,0.25,0.84,0.85,0.81,0.74,2.335,0,1,0,0,"06,07,08,09,10,11,12",0,0,1,2.2875989445910294,14.706596306068604,25.617333333333328,50.68680738786278,13.388126649076519
36,10X342,40.870295,-73.897019,0.857,0.61,0.0,0.0,0.99,1.0,0.0,0.97,0.08,0.91,0.93,0.87,0.82,2.165,0,1,0,0,"06,07,08,09,10,11,12",0,0,1,9.20524475524475,13.735664335664332,8.044718309859153,58.26118881118879,13.133216783216785
37,10X368,40.87956,-73.909674,0.7490000000000001,0.15,0.04,0.1,0.82,0.91,0.04,0.94,0.22,0.77,0.73,0.81,0.71,2.325,0,1,0,0,"06,07,08,09,10,11,12",0,0,1,7.09592326139089,9.27745803357314,25.29856115107916,54.04916067146279,10.132853717026375
39,12X267,40.827387,-73.900529,0.835,0.12,0.02,0.21,0.77,0.98,0.0,0.94,0.13,0.93,0.97,0.91,0.87,2.335,1,0,0,0,"06,07,08,09,10,11,12",0,0,1,20.09198312236285,9.161181434599154,10.921518987341766,53.84219409282701,3.000843881856541
40,12X271,40.83683900000001,-73.887671,0.853,0.11,0.01,0.26,0.72,0.98,0.01,0.87,0.48,0.85,0.91,0.84,0.75,2.1950000000000003,0,1,0,1,"06,07,08,09,10,11,12",0,0,1,2.0828644501278797,16.605626598465456,25.420565552699212,51.9104859335038,10.678772378516621
41,12X372,40.843884,-73.88431700000002,0.809,0.11,0.01,0.27,0.69,0.96,0.02,0.87,0.42,0.9,0.76,0.83,0.78,2.255,0,1,0,0,"06,07,08,09,10,11,12",0,0,1,1.3789115646258503,8.156462585034014,20.874149659863942,60.094557823129264,13.918367346938778
42,13K265,40.697012,-73.97604399999999,0.782,0.05,0.02,0.73,0.23,0.96,0.0,0.91,0.36,0.86,0.85,0.81,0.79,2.16,0,1,0,0,"06,07,08,09,10,11,12",0,0,1,3.183852691218132,9.362322946175635,23.99518413597734,52.08951841359773,16.56713881019831
43,13K527,40.694639,-73.98830699999998,0.695,0.05,0.05,0.71,0.14,0.86,0.08,0.91,0.28,0.84,0.89,0.82,0.73,2.275,0,0,0,0,"06,07,08,09,10,11,12",0,0,1,3.1044117647058846,6.787499999999996,17.287500000000005,65.96029411764707,11.007352941176473
44,14K071,40.703878,-73.95347199999998,0.868,0.22,0.01,0.15,0.78,0.93,0.05,0.9,0.35,0.88,0.92,0.82,0.77,2.025,0,0,0,1,"06,07,08,09,10,11,12",0,0,1,0.47568238213399505,19.786104218362276,25.415228426395945,39.43151364764268,23.224813895781647
45,14K586,40.709765,-73.944519,0.843,0.11,0.01,0.4,0.56,0.97,0.01,0.88,0.39,0.85,0.95,0.84,0.84,2.0,0,0,0,0,"06,07,08,09,10,11,12",0,0,1,0.0,18.613333333333337,20.05373134328358,52.01703703703704,15.755925925925931
46,14K614,40.705023,-73.938707,0.68,0.04,0.04,0.58,0.33,0.91,0.02,0.92,0.26,0.84,0.88,0.85,0.81,2.48,0,1,0,0,"06,07,08,09,10,11,12",0,0,1,3.3756097560975613,0.0,12.23780487804878,84.39268292682931,0.0
47,15K429,40.68515900000001,-73.993634,0.7490000000000001,0.07,0.03,0.54,0.39,0.93,0.04,0.88,0.52,0.79,0.73,0.78,0.69,2.12,0,1,0,0,"06,07,08,09,10,11,12",0,0,1,0.18666666666666665,17.02380952380952,29.3595238095238,47.42285714285711,14.673809523809524
48,15K448,40.679432,-74.00194300000003,0.635,0.07,0.03,0.4,0.45,0.85,0.1,0.94,0.17,0.85,0.91,0.85,0.81,2.265,0,0,0,0,"06,07,08,09,10,11,12",0,0,1,0.0,6.31054054054054,4.337027027027031,84.41027027027026,4.415675675675675
49,15K464,40.669302,-73.97867,0.652,0.09,0.07,0.39,0.36,0.75,0.14,0.94,0.2,0.91,0.93,0.83,0.79,2.44,0,1,0,0,"06,07,08,09,10,11,12",0,0,1,3.6387711864406773,13.046610169491528,29.003711790392998,42.8864406779661,19.719067796610165
50,15K497,40.68515900000001,-73.993634,0.71,0.11,0.05,0.43,0.34,0.77,0.16,0.95,0.13,0.83,0.85,0.73,0.71,2.075,0,0,0,0,"06,07,08,09,10,11,12",0,0,1,3.100414937759335,14.77448132780084,29.717291666666636,45.23589211618257,15.553941908713695
51,17K382,40.649588,-73.957176,0.684,0.09,0.01,0.81,0.15,0.96,0.01,0.95,0.17,0.79,0.76,0.75,0.7,2.27,0,1,0,0,"06,07,08,09,10,11,12",0,0,1,9.710431654676253,12.539928057553958,15.144604316546772,49.265107913669084,16.131294964028786
52,17K531,40.658665,-73.943838,0.687,0.04,0.01,0.87,0.1,0.97,0.0,0.94,0.18,0.97,0.99,0.86,0.8,2.305,0,1,0,0,"06,07,08,09,10,11,12",0,0,1,7.033788395904432,13.58737201365188,23.921107266436,51.8232081911263,10.679863481228669
53,17K533,40.658665,-73.943838,0.653,0.05,0.0,0.88,0.08,0.96,0.01,0.88,0.36,0.84,0.72,0.77,0.72,2.055,0,1,0,0,"06,07,08,09,10,11,12",0,0,1,1.3331034482758624,12.820689655172405,32.47872340425533,41.7255172413793,21.159999999999993
54,17K543,40.649588,-73.957176,0.536,0.0,0.03,0.86,0.08,0.94,0.01,0.97,0.06,0.97,0.96,0.89,0.9,2.97,0,1,0,0,"06,07,08,09,10,11,12",0,0,1,9.321107266435975,0.7782006920415225,3.9570934256055375,84.02525951557095,1.6923875432525965
55,17K590,40.667,-73.951014,0.464,0.01,0.03,0.88,0.05,0.93,0.01,0.97,0.04,0.87,0.89,0.79,0.81,3.405,0,1,0,0,"06,07,08,09,10,11,12",0,0,1,26.55423197492164,2.2288401253918493,6.017554858934169,61.678996865203736,3.8404388714733524
56,19K404,40.6573,-73.874138,0.705,0.01,0.01,0.72,0.24,0.97,0.01,0.9,0.39,0.71,0.85,0.78,0.75,2.0700000000000003,0,0,0,1,"06,07,08,09,10,11,12",0,0,1,0.1422924901185771,9.49723320158102,23.690909090909095,61.47114624505927,8.769565217391301
57,19K409,40.661208,-73.886779,0.716,0.03,0.02,0.65,0.3,0.95,0.01,0.95,0.08,0.87,0.85,0.8,0.71,2.675,0,1,0,0,"06,07,08,09,10,11,12",0,0,1,5.398620689655168,5.317241379310339,25.500346020761253,60.113448275862076,8.876206896551722
58,20K609,40.634787,-73.98163100000002,0.71,0.1,0.47,0.21,0.19,0.4,0.12,0.94,0.21,0.87,0.89,0.88,0.73,2.62,0,1,0,0,"06,07,08,09,10,11,12",0,0,1,12.962264150943387,5.267295597484279,1.5754716981132073,77.0962264150943,2.3477987421383646
59,21K468,40.593624,-73.986144,0.564,0.01,0.08,0.24,0.27,0.51,0.4,0.93,0.21,0.94,0.98,0.77,0.72,2.63,0,1,0,0,"06,07,08,09,10,11,12",0,0,1,18.219897959183655,1.0464285714285713,5.13163265306122,71.6331632653061,3.6520408163265317
60,21K690,40.604847,-73.99474599999998,0.608,0.13,0.18,0.03,0.29,0.33,0.49,0.95,0.16,0.85,0.75,0.82,0.67,2.72,1,0,0,0,"06,07,08,09,10,11,12",0,0,1,13.007517482517487,13.776223776223793,18.519156414762737,46.2561188811188,11.839510489510497
61,23K644,40.678113,-73.915211,0.685,0.01,0.01,0.9,0.08,0.97,0.01,0.92,0.23,0.87,0.87,0.85,0.82,2.285,0,0,0,0,"06,07,08,09,10,11,12",0,0,1,5.044444444444444,1.306944444444445,17.383333333333322,68.4222222222222,10.076388888888886
62,23K697,40.66553,-73.912061,0.7120000000000001,0.02,0.01,0.8,0.17,0.97,0.01,0.9,0.33,0.84,0.82,0.76,0.73,2.415,0,1,0,0,"06,07,08,09,10,11,12",0,0,1,11.952225519287827,11.38961424332346,20.725816023738876,45.576261127596524,12.07002967359051
63,24Q560,40.742708,-73.936328,0.513,0.04,0.22,0.05,0.61,0.65,0.12,0.96,0.04,0.91,0.9,0.87,0.68,3.245,1,0,0,0,"07,08,09,10,11,12",0,0,1,2.2329896907216487,8.082474226804127,25.38260869565214,57.65731958762882,10.849484536082471
64,25Q252,40.724191,-73.80937,0.443,0.02,0.4,0.17,0.23,0.4,0.18,0.96,0.09,0.81,0.87,0.85,0.73,2.8,0,0,0,0,"06,07,08,09,10,11,12",0,0,1,32.37680000000002,2.4852000000000016,1.7904000000000009,59.85280000000003,3.3228
65,25Q281,40.749539,-73.821454,0.5379999999999999,0.07,0.67,0.1,0.18,0.28,0.04,0.98,0.02,0.89,0.88,0.84,0.74,3.175,1,0,0,0,"06,07,08,09,10,11,12",0,0,1,23.344179104477654,2.1558208955223894,8.07373134328357,61.57074626865674,4.977910447761195
66,25Q285,40.765017,-73.789689,0.293,0.01,0.18,0.05,0.26,0.31,0.5,0.95,0.11,0.92,0.92,0.83,0.76,2.855,0,1,0,0,"06,07,08,09,10,11,12",0,0,1,8.514868804664715,3.7999999999999985,10.593294460641417,73.62274052478138,4.371428571428569
67,27Q262,40.586666,-73.823435,0.551,0.02,0.07,0.49,0.28,0.78,0.13,0.95,0.14,0.94,0.96,0.88,0.77,2.55,0,0,0,0,"06,07,08,09,10,11,12",0,0,1,12.963376623376632,2.4441558441558437,12.265714285714303,68.2384415584415,4.347272727272724
68,27Q309,40.601532,-73.763979,0.667,0.13,0.08,0.43,0.42,0.85,0.04,0.93,0.2,0.79,0.85,0.84,0.73,2.23,0,1,0,0,"06,07,08,09,10,11,12",0,0,1,3.837394957983194,16.053361344537812,11.87923728813559,56.19663865546217,15.78277310924368
69,27Q323,40.58445,-73.82517,0.403,0.0,0.21,0.19,0.18,0.37,0.41,0.97,0.05,0.93,0.96,0.92,0.79,3.775,1,0,0,0,"06,07,08,09,10,11,12",0,0,1,96.25019607843132,0.1309803921568627,0.0,3.438431372549022,0.16313725490196074
70,28Q167,40.712046,-73.861195,0.397,0.02,0.17,0.18,0.39,0.57,0.2,0.96,0.07,0.87,0.96,0.85,0.8,2.715,0,1,0,0,"06,07,08,09,10,11,12",0,0,1,16.803333333333335,0.9500000000000001,4.8033333333333355,77.54333333333335,0.0
71,28Q284,40.696913,-73.786396,0.428,0.01,0.29,0.51,0.1,0.61,0.01,0.96,0.07,0.9,0.91,0.88,0.78,3.025,0,1,0,0,"06,07,08,09,10,11,12",0,0,1,47.7935897435897,1.1410256410256405,0.580769230769231,48.39358974358975,1.8692307692307684
72,28Q310,40.713395,-73.797066,0.5489999999999999,0.09,0.27,0.51,0.15,0.66,0.03,0.95,0.13,0.86,0.83,0.83,0.72,2.5,0,1,0,0,"06,07,08,09,10,11,12",0,0,1,12.981749049429661,7.644106463878331,6.193916349809884,62.37642585551331,11.709125475285171
73,28Q680,40.71855,-73.805991,0.41,0.0,0.47,0.35,0.11,0.46,0.03,0.98,0.01,0.85,0.59,0.82,0.66,3.48,0,1,0,0,"07,08,09,10,11,12",0,0,1,62.553282828282924,1.0146464646464655,2.8702020202020195,31.28838383838384,2.22979797979798
74,28Q896,40.708431,-73.80419599999998,0.496,0.02,0.32,0.46,0.14,0.6,0.03,0.96,0.06,0.83,0.85,0.79,0.76,3.03,0,1,0,0,"07,08,09,10,11,12",0,0,1,22.26165048543687,3.3980582524271843,9.03398058252427,62.86407766990297,3.427669902912619
75,29Q259,40.706768,-73.753793,0.396,0.03,0.04,0.88,0.06,0.94,0.01,0.96,0.1,0.86,0.83,0.84,0.75,2.39,0,0,0,0,"06,07,08,09,10,11,12",0,0,1,4.4512096774193575,6.299193548387098,19.571774193548375,58.54758064516131,15.70322580645162
76,29Q283,40.668105,-73.757899,0.464,0.01,0.04,0.85,0.06,0.91,0.02,0.97,0.03,0.94,0.93,0.88,0.81,2.64,0,1,0,0,"06,07,08,09,10,11,12",0,0,1,11.891189427312778,8.71233480176211,15.473127753303967,55.944493392070534,11.565638766519832
77,29Q327,40.691665,-73.778987,0.419,0.0,0.01,0.86,0.03,0.9,0.03,0.93,0.27,0.81,0.66,0.81,0.84,2.415,0,1,0,0,"06,07,08,09,10,11,12",0,0,1,16.650000000000002,1.683333333333333,10.066666666666666,65.98333333333335,6.766666666666666
78,30Q286,40.771319,-73.924184,0.561,0.03,0.34,0.06,0.43,0.49,0.16,0.97,0.06,0.9,0.95,0.91,0.74,2.88,0,1,0,0,"06,07,08,09,10,11,12",0,0,1,18.090131578947382,0.3394736842105263,2.663815789473683,74.98486842105264,3.030921052631577
79,30Q580,40.755048,-73.926963,0.276,0.0,0.49,0.02,0.15,0.17,0.31,0.98,0.01,0.88,0.81,0.9,0.7,3.99,1,0,0,0,"07,08,09,10,11,12",0,0,1,40.056464379947236,0.399736147757256,2.377836411609499,56.373614775725564,0.8733509234828493
80,31R080,40.608441,-74.105262,0.366,0.01,0.08,0.2,0.22,0.42,0.48,0.95,0.1,0.93,0.92,0.87,0.8,2.855,0,1,0,0,"0K,01,02,03,04,05,06,07,08,09,10,11,12",0,1,0,29.734475374732327,2.213704496788011,16.891648822269826,45.767451820128485,5.3546038543897225
81,32K554,40.697591,-73.913097,0.667,0.02,0.06,0.11,0.77,0.89,0.05,0.97,0.08,0.92,0.99,0.96,0.83,3.375,0,1,0,0,"06,07,08,09,10,11,12",0,0,1,14.442914979757106,1.6554655870445347,15.919433198380561,65.43441295546555,3.48663967611336
